Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Segment
326,1,77183.6,3,4.10755358369739,5.439993236315901,Big Spenders
2,7,4310.0,0,0.743043929739806,-0.6707557125182538,Loyal Customers
75,4,1797.24,0,0.025229649381672513,-0.17467490673720387,Loyal Customers
19,1,1757.55,0,-0.0274908018297632,-0.7346032008154799,Loyal Customers
310,1,334.4,1,-1.2355926551807852,1.8346850586250087,At Risk
36,8,2506.04,0,0.5744479120671848,-0.4271836538142374,Loyal Customers
204,1,89.0,1,-0.8492386842218462,0.8643992940851731,At Risk
232,1,1079.4,1,-0.8862074546365422,1.1623799239549375,At Risk
214,1,459.4,1,-0.8612684699517148,0.9715723049881612,At Risk
23,3,2811.43,0,0.2068263527687542,-0.6166993240871665,Loyal Customers
33,1,6207.67,0,0.23213647794423736,-0.40752291797141654,Loyal Customers
2,2,1168.06,0,0.0835052375551541,-0.8978625049517851,Loyal Customers
58,4,6310.03,0,0.40730097373729723,-0.12530370479198852,Loyal Customers
52,3,2662.06,0,0.0859008215385227,-0.36099312371462566,Loyal Customers
287,1,189.9,1,-1.1581780712063228,1.6200422418937697,At Risk
3,10,5226.23,0,1.066823644781104,-0.5690733249176687,Loyal Customers
110,2,552.0,0,-0.3710422632583469,0.0517305144195846,Loyal Customers
8,4,1313.1,0,0.24629708044591983,-0.8027848938372398,Loyal Customers
291,2,641.38,1,-1.0539411677758315,1.6936949992517238,At Risk
4,1,168.9,0,-0.08209064082545074,-0.9418809378542182,Loyal Customers
51,4,3541.94,0,0.23930123212514906,-0.3132964761720783,Loyal Customers
45,2,1887.96,0,-0.02959991658139949,-0.4763216250817952,Loyal Customers
72,3,1298.04,0,-0.08617059205355636,-0.2414271040969629,Loyal Customers
311,1,364.6,1,-1.2372766254776175,1.8450943546531315,At Risk
25,1,742.9300000000001,0,-0.12168519717937674,-0.7259951751512144,Loyal Customers
11,2,457.5,0,-0.0007304702387390634,-0.8484144917043243,Loyal Customers
315,2,1628.12,1,-1.075936722130199,1.955313256848648,At Risk
130,1,4008.62,0,-0.29184343707035376,0.3712447965937556,Loyal Customers
82,2,852.24,0,-0.2433151363430068,-0.18813262225630842,Loyal Customers
22,4,2724.81,0,0.29226207021254247,-0.6125241520698443,Loyal Customers
5,5,1845.31,0,0.38286448242896054,-0.7888426006625081,Loyal Customers
185,5,1850.56,1,-0.3021428324447624,0.8402841213281862,At Risk
29,2,585.27,0,-0.0602832789336018,-0.6797719797192153,Loyal Customers
338,2,401.9,1,-1.2497409224365301,2.1082325795996106,At Risk
16,6,2780.66,0,0.494473800652424,-0.6300554524979043,Loyal Customers
80,1,549.84,0,-0.3446839648597586,-0.2369735289448996,Loyal Customers
22,1,439.66,0,-0.1315883315974016,-0.7667995890503281,Loyal Customers
72,4,1582.6000000000001,0,0.02155901444967952,-0.21148831352219366,Loyal Customers
64,2,1272.48,0,-0.14522603019423122,-0.33209825498370554,Loyal Customers
19,12,3018.63,0,1.02610036514358,-0.4894411392314434,Loyal Customers
